학교명,lat,lon,등급
가재울고등학교,37.5743637013203,126.909529666957,중
신도림고등학교,37.5140629233737,126.88208378322,중
관악고등학교,37.5217916605406,126.88292354628,중
광운인공지능고등학교,37.6192431974844,127.056540751938,중
구현고등학교,37.5022832205782,126.874418207198,중
영신간호비즈니스고등학교,37.6525485061054,127.08350874514,하
덕일전자공업고등학교,37.4905365201163,126.837134461147,하
경기기계공업고등학교,37.6322400488783,127.074928451599,중
개포고등학교,37.4850425995284,127.059305485497,상
서울체육고등학교,37.5223303821085,127.129822552593,상
고명외식고등학교,37.597674141541,127.019187491701,하
상암고등학교,37.5813414106022,126.883394497343,중
인헌고등학교,37.4723107319026,126.970485117895,중
경일고등학교,37.5438083798316,127.047853796815,중
서울아이티고등학교,37.6424184430399,127.06244927375,중
환일고등학교,37.5537559309443,126.962588449936,상
신현고등학교,37.6052490449627,127.092949934138,상
서울컨벤션고등학교,37.5592845614915,127.158215928554,하
강서고등학교,37.5363155693554,126.865771125825,상
하나고등학교,37.6416375903135,126.936930247565,상
정의여자고등학교,37.6533558400471,127.032427255133,상
덕원예술고등학교,37.5486225773288,126.829024518952,상
월계고등학교,37.6316734128872,127.048388273455,중
자운고등학교,37.6590464061269,127.050690661699,중
남강고등학교,37.4713756726623,126.924909105757,중
명덕여자고등학교,37.5538694849081,126.8339773378,상
경신고등학교,37.5922022663657,126.999531005507,상
경기고등학교,37.517564539911,127.056075505663,상
염광메디텍고등학교,37.6302844506448,127.049264552091,하
광신고등학교,37.4644762024804,126.925940565455,중
정신여자고등학교,37.5094538398143,127.073847329188,상
덕원여자고등학교,37.5486225773288,126.829024518952,중
서울여자상업고등학교,37.4729045674501,126.950918062755,중
서울웹툰애니메이션고등학교,37.4694909673091,126.988245947982,하
광영고등학교,37.5371981027922,126.823275879439,중
둔촌고등학교,37.531432583881,127.143808707936,중
태릉고등학교,37.6189925408244,127.085819844147,중
서울매그넷고등학교,37.4519206711218,126.915824008297,하
서울문영여자고등학교,37.4729045674501,126.950918062755,상
염광고등학교,37.6302844506448,127.049264552091,상
한성과학고등학교,37.57543616578,126.952370943937,상
광문고등학교,37.5604616297792,127.158546528744,중
선화예술고등학교,37.5509798002896,127.087095159462,상
선사고등학교,37.5563158751807,127.13577562154,중
대일외국어고등학교,37.6133045933527,127.014175970968,상
영동일고등학교,37.5099746522433,127.089443727735,상
목동고등학교,37.5092159752312,126.86019842592,상
용산고등학교,37.5458673821179,126.980327669219,중
진선여자고등학교,37.5023028920315,127.048286565491,상
서울디지텍고등학교,37.5389694235589,126.990617730566,하
