암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,주소,전화번호,병원URL,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,x좌표,y좌표,조사기간,병원홈페이지,조산사 인원수,좌표(X),좌표(Y),equitments,levels,grade,medicalLevel,cluster,DistanceToCenter,class,hospitalScore,lat,lon
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,경희대학교병원,1,상급종합,110000,서울,110007,동대문구,,서울특별시 동대문구 경희대로 23 (회기동),02-958-8114,http://www.khuh.or.kr/,1971-10-05 00:00:00,456,3,65,162,226,0,0,0,0,0,0,0,0,127.051852,37.5941195,202112,,,,,0.2087187213137114,0.0714285714285714,1.0,0.9102564102564102,1,0.232241232991228,0.0,2.256730233610938,37.5937762050989,127.050741696591
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,한양대학교병원,1,상급종합,110000,서울,110011,성동구,,서울특별시 성동구 왕십리로 222-1 (사근동),02-2290-8114,http://seoul.hyumc.com,1972-04-24 00:00:00,402,3,46,138,202,0,2,4,7,0,0,0,0,127.0441339,37.5596569,202112,,,,,0.1648273086406354,0.0714285714285714,1.0,0.8846153846153846,1,0.238049970367353,0.0,2.262538970987063,37.5585815432773,127.045715688792
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),1,상급종합,110000,서울,110012,성북구,,서울특별시 성북구 고려대로 73 고려대병원 (안암동5가),1577-0083,http://anam.kumc.or.kr/main/index.do,1974-03-25 00:00:00,550,7,36,159,326,0,4,10,8,0,0,0,0,127.0263537,37.5870165,202112,,,,,0.2183739502202772,0.0714285714285714,1.0,0.9487179487179488,1,0.2803580003593322,0.0,2.3048470009790423,37.5873771473625,127.026248862202
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,강북삼성병원,1,상급종합,110000,서울,110016,종로구,,서울특별시 종로구 새문안로 29 (평동),02-2001-2001,http://www.kbsmc.co.kr,1979-03-24 00:00:00,394,4,26,131,226,3,0,0,4,0,0,0,0,126.96775,37.5684083,202112,,,,,0.1905063743914714,0.0714285714285714,1.0,0.923076923076923,1,0.2508324430780554,0.0,2.2753214436977656,37.5688677261045,126.967812703696
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,학교법인가톨릭학원가톨릭대학교서울성모병원,1,상급종합,110000,서울,110021,서초구,,서울특별시 서초구 반포대로 222 (반포동),02-1588-1511,http://www.cmcseoul.or.kr/,1980-05-02 00:00:00,856,2,55,225,543,0,5,15,11,0,0,0,0,127.0051154,37.5009444,202112,,,,,0.3464196348730545,0.0714285714285714,1.0,0.891025641025641,1,0.3507113773198018,0.0,2.375200377939512,37.5023936158073,127.005860604348
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,서울대학교병원,1,상급종합,110000,서울,110016,종로구,,서울특별시 종로구 대학로 101 (연건동),1588-5700,http://www.snuh.org,1981-07-09 00:00:00,1554,14,179,560,799,1,0,0,1,0,0,0,0,126.9990168,37.5797151,202112,,,,,0.4380854236609936,0.0714285714285714,1.0,0.967948717948718,1,0.519300243030818,0.0,2.543789243650528,37.5804523853297,126.997196437908
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,건국대학교병원,1,상급종합,110000,서울,110023,광진구,,서울특별시 광진구 능동로 120-1 (화양동),1588-1533,http://www.kuh.ac.kr,1982-11-16 00:00:00,439,7,36,155,238,0,0,0,3,0,0,0,0,127.0718276,37.5403764,202112,,,,,0.2023577460004423,0.1428571428571428,1.0,0.8717948717948718,1,0.1928010610033597,0.0,2.21729006162307,37.5412356316656,127.07205578747
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,연세대학교의과대학 강남세브란스병원,1,상급종합,110000,서울,110001,강남구,,서울특별시 강남구 언주로 211 강남세브란스병원 (도곡동),02-2019-3114,http://gs.iseverance.com,1983-04-04 00:00:00,542,1,28,142,316,0,10,30,15,0,0,0,0,127.0462683,37.4929296,202112,,,,,0.2198758413928692,0.0714285714285714,1.0,0.9551282051282052,1,0.2882701479421806,0.0,2.3127591485618906,37.4928059943729,127.04631039276
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,고려대학교의과대학부속구로병원,1,상급종합,110000,서울,110005,구로구,,서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),02-2626-1114,http://guro.kumc.or.kr/main/index.do,1983-08-31 00:00:00,541,1,31,161,319,0,4,15,10,0,0,0,0,126.8848701,37.492052,202112,,,,,0.2351931147315329,0.0714285714285714,1.0,0.9423076923076924,1,0.2907669084603315,0.0,2.315255909080041,37.4911503253664,126.884511034177
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,재단법인아산사회복지재단 서울아산병원,1,상급종합,110000,서울,110018,송파구,,서울특별시 송파구 올림픽로43길 88 서울아산병원 (풍납동),02-3010-3114,http://www.amc.seoul.kr,1989-05-20 00:00:00,1672,15,129,443,1047,2,0,19,17,0,0,0,0,127.107935,37.5265762,202112,,,,,0.5599928898461828,0.0714285714285714,1.0,1.0,1,0.673258991267289,0.0,2.697747991886999,37.525171129004,127.109380463701
